GDPQ;LHEM;LPMHU;P16;FM2;FYGM3;PUNEW;CANN;GBRN;DEUN;FRAN;ITAN;JPNN;ESPN;CANRGDP;GBRRGDP;FDRRGDPS;FRARGDP;ITARGDP;JPNGNP85;ESPGDPVS
2103.800049;66379.66667;111.1100006;119378.6667;340.2333374;2.723333359;30.10000038;6170.7238;2419.844;;;20294.4438;4535.2206;;178936;271360;919.2;;;77345;
2125.699951;66576.66667;112.7766673;119819.3333;347.4000041;2.713333368;30.20000076;6240.1042;2417.9816;;;20315.999;4544.33;;179136;275108;926;;;78453;
2142.600098;66881;113.1933339;120368;352.7666626;2.839999994;30.29999987;6241.7484;2415.9647;;;20399.5031;4561.8934;;181864;277564;954.4;;;79416;
2140.199951;66969.33333;113.246666;121045.6667;359.9666646;2.813333273;30.39999962;6248.0619;2408.2829;;;20337.3425;4580.4876;;185120;275444;946;;;80946;
2170.899902;67149;113.3899994;121640;367.9666646;2.906666756;30.46666654;6263.0333;2407.7601;;;19994.8142;4538.0171;;186320;275420;915.2;;;82040;
2199.5;67635.33333;114.6266683;122166.6667;375.8666687;2.936666727;30.53333346;6319.7175;2422.9582;;;20131.3546;4585.1617;;188624;286164;954.4;;;84363;
2237.600098;67995.66667;115.2799988;122669.6667;383.5000102;3.293333371;30.73333359;6416.4669;2423.9604;;;20020.8702;4611.921;;190508;288188;992.8;;;86721;
2254.5;68258;115.8933309;123188.6667;391.0666707;3.49666667;30.79999987;6499.1981;2437.3624;;;20037.3852;4641.4394;;197236;293204;991.6;;;89601;
2311.100098;68613.66667;116.0633316;123708;397.6000061;3.529999971;30.89999962;6551.2145;2445.7883;;14134.8395;20236.4707;4637.3472;;200964;296940;1007.6;;;92663;
2329.899902;69401.66667;117.5100021;124203;404.2999878;3.476666689;31;6584.289;2451.8193;;14218.335;20038.4063;4651.0189;;201788;300348;1019.2;;;95192;
2357.399902;69480;118.2166672;124739.3333;413.4000041;3.49666667;31.03333346;6626.9647;2461.9462;;14320.2505;19874.8077;4650.3382;;204832;300400;1032.4;;;96613;
